estacion,estacion_n,latitud,longitud
2502,TERMINAL,4.754623,-74.046119
2001,CC SANTAFE,4.761535,-74.045233
2101,TOBERIN,4.746877,-74.047184
2102,CARDIO INFANTIL,4.742084,-74.047975
2103,MAZUREN,4.735442,-74.049083
2104,CALLE 146,4.731574,-74.049738
2105,CALLE 142,4.726377,-74.050615
2200,ALCALA,4.72113,-74.051508
2201,PRADO,4.714519,-74.052589
2202,CALLE 127,4.704642,-74.054273
2204,PEPE SIERRA,4.698202,-74.055317
2205,CALLE 106,4.691824,-74.056419
2300,CALLE 100,4.684347,-74.057672
2302,VIRREY,4.676525,-74.058959
2303,CALLE 85,4.67174,-74.059791
2304,HEROES,4.668438,-74.060276
4108,POLO,4.670622,-74.064756
4107,ESCUELA MILITAR,4.675215,-74.069348
4105,CARRERA 53,4.682101,-74.077716
4104,AV 68,4.685812,-74.080559
4103,FERIAS,4.690747,-74.084529
4102,AV. BOYACA,4.694168,-74.087372
4101,MINUTO DE DIOS,4.696574,-74.091401
4100,CARRERA 77,4.698323,-74.094705
4004,GRANJA,4.698323,-74.094705
4003,AV. CALI,4.702717,-74.100622
4002,CARRERA 90,4.704562,-74.104377
4001,QUIRIGUA,4.706599,-74.108583
9123,CALLE 76,4.663121,-74.061276
9122,CALLE 72,4.658221,-74.062121
9121,FLORES,4.654879,-74.063071
9120,CALLE 63,4.648268,-74.064927
9119,CALLE 57,4.643036,-74.065868
9118,MARLY,4.637553,-74.066783
9117,CALLE 45,4.631567,-74.067893
9116,AV 39,4.626937,-74.068712
9115,PROFAMILIA,4.621504,-74.069811
9114,CALLE 26,4.616617,-74.072223
9113,CALLE 22,4.611759,-74.074679
9111,CALLE 19,4.607941,-74.076831
14005,LAS AGUAS,latitude:4.602474,-74.068425
14004,MUSEO DEL ORO,latitude:4.601225,-74.072987
9110,AV. JIMENEZ,4.602789,-74.080508
14001,LA SABANA,latitude:4.605367,-74.081868
12004,SAN FAÇON CARRERA 22,4.609652,-74.086725
12003,RICAURTE,4.612839,-74.090303
12002,CDS CARRERA 32,4.616045,-74.093895
12007,ZONA INDUSTRIAL,4.620314,-74.098709
12001,CARRERA 43,4.622795,-74.101485
12000,PTE ARANDA,4.625798,-74.104836
9109,TERCER MILENIO,4.597835,-74.084126
9108,HOSPITAL,4.594886,-74.086417
9107,HORTUA,4.590769,-74.090325
9106,NARIÑO,4.586309,-74.093957
9105,FUCHA,4.582895,-74.099549
9104,RESTREPO,4.581796,-74.101528
9103,OLAYA,4.578863,-74.107545
9101,QUIROGA,4.576815,-74.114312
9100,CALLE 40 SUR,4.575778,-74.120194
9004,SANTA LUCIA,4.570898,-74.124759
9003,SOCORRO,4.564674,-74.125607
9002,CONSUELO,4.560131,-74.123844
9001,MOLINOS,4.557065,-74.121876
8002,BIBLIOTECA,4.570278,-74.130523
8001,PARQUE EL TUNAL,4.568348,-74.135592
3001,LA CAMPIÑA,4.742643,-74.091197
3002,SUBA - Tv 91,4.738957,-74.087034
3003,21 ANGELES,4.735479,-74.080942
3004,GRATAMIRA,4.727388,-74.074744
3005,SUBA - AV. BOYACA,4.721266,-74.074795
3006,NIZA - CALLE 127,4.711948,-74.072314
3007,HUMEDAL CORDOBA,4.706559,-74.071152
3009,SHAIO,4.699317,-74.069924
3010,PUENTE LARGO,4.693407,-74.067244
3011,SUBA - CALLE 100,4.690522,-74.065689
3012,SUBA - CALLE 95,4.684641,-74.063232
3013,RIO NEGRO,4.680409,-74.064817
3014,SAN MARTIN,4.676437,-74.067172
7101,CASTELLANA,4.675645,-74.064495
7102,NQS-CALLE 75,4.669876,-74.071708
7103,AV. CHILE,4.666302,-74.074722
7104,SIMON BOLIVAR,4.657331,-74.077705
7105,COLISEO,4.649957,-74.078368
7106,CAMPIN,4.645445,-74.078727
7107,U. NACIONAL,4.637029,-74.079355
7108,AV. EL DORADO,4.630524,-74.079888
7109,CAD,4.622977,-74.084582
7110,PALOQUEMAO,4.616807,-74.090252
7111,NQS - RICAURTE,4.611535,-74.094061
7112,COMUNEROS,4.604198,-74.100005
7113,SANTA ISABEL,4.601487,-74.102875
7009,SENA,4.597311,-74.110804
7008,NQS - Calle 30 Sur,4.594787,-74.117928
7006,GENERAL SANTANDER,4.593574,-74.129349
7005,ALQUERIA,4.594269,-74.134359
7004,VENECIA,4.595552,-74.142776
7003,SEVILLANA,4.595156,-74.147888
7002,MADELENA,4.596279,-74.156718
7001,PERDOMO,4.595739,-74.164507
7506,DESPENSA,4.59452,-74.188621
7505,LEON XIII,4.591654,-74.194157
7504,TERREROS,4.589216,-74.198835
7503,SAN MATEO,4.585494,-74.206645
5107,AMERICAS CRA 53,4.627856,-74.111737
5105,PRADERA,4.628509,-74.118611
5103,MARSELLA,4.629709,-74.130314
5102,MUNDO AVENTURA,4.630097,-74.134265
5100,BANDERAS,4.631324,-74.146048
5005,TRV 86,4.634107,-74.152083
5002,BIBLIOTECA TINTAL,4.638053,-74.159225
5001,PATIO BONITO,4.632588,-74.165295
